country,continent,unfccc,peak_year,timeline_year,peaked_or_not,carbon_footprint
Australia,Oceania,UNFCCC Annex I,2006,2010,Peaked,533917000
Austria,Europe,UNFCCC Annex I,2003,2010,Peaked,84946000
Azerbaijan,Asia,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,42638300
Belarus,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,91184000
Belgium,Europe,UNFCCC Annex I,1996,2000,Peaked,133258000
Brazil,South America,UNFCCC Non-Annex I,2004,2010,Peaked,1268171300
Bulgaria,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,60519000
Canada,North America,UNFCCC Annex I,2007,2010,Peaked,706403000
China,Asia,UNFCCC Non-Annex I,2030 or earlier (CO2 only),2030,Will peak,8770000000
Costa Rica,North America,UNFCCC Non-Annex I,1999,2000,Peaked,14400000
Croatia,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,27280000
Cyprus,Asia,UNFCCC Annex I,2008,2010,Peaked,9572000
Czech Republic,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,138226000
Denmark,Europe,UNFCCC Annex I,1996,2000,Peaked,62944000
Estonia,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,19912000
Finland,Europe,UNFCCC Annex I,1994,2000,Peaked,75835000
France,Europe,UNFCCC Annex I,1991,2000,Peaked,518940000
Georgia,Asia,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,14600000
Germany,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,941039000
Greece,Europe,UNFCCC Annex I,2007,2010,Peaked,118627000
Hungary,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,65524000
Iceland,Europe,UNFCCC Annex I,2008,2010,Peaked,4730000
Ireland,Europe,UNFCCC Annex I,2001,2010,Peaked,62235000
Italy,Europe,UNFCCC Annex I,2007,2010,Peaked,508424000
Japan,Asia,UNFCCC Annex I,2020 or earlier,2020,Will peak,1304903000
Kazakhstan,Asia,UNFCCC Non-Annex I,1990 or earlier,1990,Peaked,305344000
South Korea,Asia,UNFCCC Non-Annex I,2020 or earlier,2020,Will peak,602285000
Latvia,Europe,UNFCCC Annex I,1990 or earlier,1990,Peaked,12357000
Liechtenstein,Europe,UNFCCC Annex I,2008,2010,Peaked,231000
Lithuania,Europe,UNFCCC Annex I,1991,2000,Peaked,20755000
Luxembourg,Europe,UNFCCC Annex I,1991,2000,Peaked,12220000
Malta,Europe,UNFCCC Annex I,2020 or earlier,2020,Will peak,3099000
Marshall Islands,Oceania,UNFCCC Non-Annex I,2030 or earlier,2030,Will peak,112000
Mexico,North America,UNFCCC Non-Annex I,2030 or earlier,2030,Will peak,739000000
Micronesia,Oceania,UNFCCC Non-Annex I,2001,2010,Peaked,152000
